,Name,Title
0,,"Click the ""JOIN"" button below the video to support freeCodeCamp.org!"
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,Lil Nas D,Two weeks ago I started doing this course thinking that it would be useful for my placements  and today I'm here to let you know that because of your teaching I actually learnt DBMS and got placed in an MNC .The recruiter asked me about DBMS functions and in particular he asked me about group by function which I otherwise wouldn't  have answered . I'm really grateful for you and thank you very much Sir for taking your time to explain DBMS to us.
12,Zoldar Music,This was the only lesson of SQL I have ever taken and I managed to get a job as a Junior Data analyst! Thanks
13,Aniket Biswas,I will never forget how I ended up here and finally secured a job for myself and this course has had immesurable contribution towards my success. It helped me get started with SOMETHING when my brain was cluttered and I was living in despair with all the wrong decisions in life. I'm very very thankful to Mike and whoever put this course in this format.
14,Angie Makhubela,"To everyone who does not have the means to go to University or College and are self teaching, keep on going! your efforts will definitely be recognised "
15,potionsmeller,"For those using this video recently : when connecting to your MySQL DB on PopSQL, make sure to change the connection type (toggle 'Connect directly from my computer') to avoid the error regarding localhost"
16,Jon Santos,"9:45 DBMS; 12:20 C.R.U.D.  wrt databases; 13:14 Two types of databases: SQL (tables) vs noSQL (json, graphs, etc); 16:19 RDBMS (e.g., mySQL, Oracle, etc) SQL is the language used to interact with RDBMS; 18:20 non-relational databases (e.g., mongoDB) noSQL; 20:04 Queries; 21:45 Summary thus far; 24:15 example scenario which shows how to use pri/foreign/composite keys; 25:05 primary key; 30:08 two types of primary keys: surrogate keys (no mapping to real world) vs natural keys (has mapping to real world); "
17,Terrabyte12,Some of this YouTubers really know how to prepare and convey tech materials way better than some lecturers in high-end institutions. Thank you so much for this upload.
18,Engr. Leth A,Thanks a bunch. I finished your 4 hour course.. I am 61 and just fascinated with these section of education. Retired engineer of the Armed  Forces. I’ll share your video and channel to my son. 
19,Tharinda Kodikara,I've just finished this course. I wanted to revise what I've learned in a previous semester in my campus because I have a module on 'Advanced Data Management' coming up next semester. I learned many SQL codes which I didn't know before and learned how to convert a set of requirements into a database schema step by step. Thanks so much Mike for creating this valuable content!
20,Aditya Kiran G,"Wonderful tutorial covering all the basic concepts of SQL. Completed it in 2.5 days.. If you are more focused, probably u can complete it much quicker. He exactly knows where students may get confused with certain topics and he repeats it twice/thrice. Thats the good part. "
21,Alireza Amani,"Thank you for this content. Also many thanks to the instructor, who makes it almost seamless to go from zero to a level that you are comfortable to work with SQL. Now it’s practice time!"
22,Anthony Nkem,"Thank you so much, even though I am still going through this tutorial, I want to say a Big thank you for the effort you've taken to bring this awesome lecture to us for free. I am indeed grateful to you sir."
23,AMAL P B,"(0:00) Introduction
(2:36) What is a Database?
(23:10) Tables & Keys
(43:31) SQL Basics"
24,Zach Quigg,"Great course, man. Well done. Very easy to follow while remaining thorough."
25,Pariah Incognito,"This course is good and timeless! You literally discussed a semester's worth of lectures in just 4 hours. I learned a lot here more than in my class. I'm taking this to refresh my knowledge on SQL for a job interview, hope I'll do well."
26,ken simba,Such a fantastic tutorials with clear explanation. I love to get instructors who move with baby steps on beginner level since they recognise some of us come here with no idea what even SQL is. Thank God I now I fully understand most parts of ms Access and mysql. Wonderful job Mike. God bless you
27,Poli Nik,Thanks Mike! Actually I knew a lot before this course. But it's so enjoyable and pleasant to see how organized you made this course and prepared materials. You pronounciation is so clear. You are great teacher!
28,asingbe conrad,This guy is damn good. My instructor’s tuition wasn’t clear and this guy just took me to a level way higher in the positive direction. He’s a genius.
29,Òfficial,"Contents 

️ (0:00) Introduction

️ (2:36) What is a Database?

️ (23:10) Tables & Keys"
30,Diego Wang,"Absolutely amazing! I love your tutorial, way better than my college database class."
